ORDER_NUM,ORDER_DATE,ORDER_STATUS,CUSTOMER_NUM,CUSTOMER_NAME,ORDER_TYPE,LINE_NUM,ITEM_NUM,QUANTITY,UOM,UNIT_PRICE,CURRENCY,SHIP_TO_ORG,REQUESTED_DATE,PROMISED_DATE,SOURCE_SYSTEM,SALES_REP,PAYMENT_TERMS,FREIGHT_TERMS,WAREHOUSE
SO-200002,2024-07-11,SHIPPED,CUST-1004,Lone Star Logistics,DROPSHIP,1,ITM-DELETED,187,PCS,334.26,USD,DALLAS_DC,14-Jul-24,15/07/2024,NETSUITE,E. Vasquez,PREPAID,DDP,DALLAS_DC
SO-200002,2024-07-11,SHIPPED,CUST-1004,Lone Star Logistics,DROPSHIP,2,ITM-01053-D,118,EACH,63.74,USD,DALLAS_DC,"Apr 28, 2024",2024-05-02T00:00:00,NETSUITE,E. Vasquez,NET30,FOB Origin,DALLAS_DC
SO-200002,2024-07-11,SHIPPED,CUST-1004,Lone Star Logistics,DROPSHIP,3,ITM-01006-B,62,PCS,28.78,USD,DALLAS_DC,2024-08-05,02/08/2024,NETSUITE,E. Vasquez,PREPAID,FOB Origin,DALLAS_DC
SO-200002,2024-07-11,SHIPPED,CUST-1004,Lone Star Logistics,DROPSHIP,4,ITM-01003-C,60,ea,88.47,USD,DALLAS_DC,06/11/2024,20240622,NETSUITE,E. Vasquez,NET 30,FOB Destination,DALLAS_DC
SO-200002,2024-07-11,SHIPPED,CUST-1004,Lone Star Logistics,DROPSHIP,5,ITM-01047-B,148,ea,309.47,$,DALLAS_DC,07/26/2024,02-Aug-24,NETSUITE,E. Vasquez,NET60,FOB Destination,DALLAS_DC
SO-200003,02-Jun-24,BOOKED,CUST-1004,Lone Star Logistics,RMA,1,ITM-01042-C,202,ea,128.86,$,M2,19/08/2024,08/28/2024,NETSUITE,R. Kim,NET 30,DDP,M2
SO-200004,02/10/2024,SHIPPED,CUST-1002,Acme Manufacturing,RMA,1,ITM-01036-C,143,ea,55.37,USD,DALLAS_DC,14-Jun-24,06/24/2024,NETSUITE,J. Lin,NET 30,FOB Origin,DALLAS_DC
SO-200004,02/10/2024,SHIPPED,CUST-1002,Acme Manufacturing,RMA,2,ITM-DELETED,138,PC,332.1,USD,DALLAS_DC,03-Jun-24,02/06/2024,NETSUITE,J. Lin,PREPAID,FOB Origin,DALLAS_DC
SO-200004,02/10/2024,SHIPPED,CUST-1002,Acme Manufacturing,RMA,3,ITM-01013-D,56,Each,85.14,$,DALLAS_DC,29-Jul-24,2024-08-12,NETSUITE,J. Lin,NET60,FOB Destination,DALLAS_DC
SO-200004,02/10/2024,SHIPPED,CUST-1002,Acme Manufacturing,RMA,4,ITM-01008-C,179,ea,282.1,$,DALLAS_DC,07/01/2024,20240705,NETSUITE,J. Lin,NET 30,FOB,DALLAS_DC
SO-200005,20240826,CLOSED,CUST-1004,Lone Star Logistics,DROPSHIP,1,ITM-01030-C,195,EACH,365.9,$,M1,26-Mar-24,07/04/2024,NETSUITE,J. Lin,NET30,FOB Destination,M1
SO-200005,20240826,CLOSED,CUST-1004,Lone Star Logistics,DROPSHIP,2,ITM-01002-D,240,ea,232.5,$,M1,06-May-24,05/20/2024,NETSUITE,J. Lin,NET60,FOB,M1
SO-200005,20240826,CLOSED,CUST-1004,Lone Star Logistics,DROPSHIP,3,ITM-01037-A,141,PC,377.5,$,M1,02-May-24,2024-05-14T00:00:00,NETSUITE,J. Lin,Due on receipt,DDP,M1
SO-200005,20240826,CLOSED,CUST-1004,Lone Star Logistics,DROPSHIP,4,ITM-01047-B,36,PC,219.53,USD,M1,20240530,"Jun 01, 2024",NETSUITE,J. Lin,NET30,FOB Origin,M1
SO-200005,20240826,CLOSED,CUST-1004,Lone Star Logistics,DROPSHIP,5,ITM-99999-Z,196,EA,166.13,USD,M1,08/19/2024,2024-08-17,NETSUITE,J. Lin,NET60,FOB Origin,M1
SO-200006,15/09/2024,CLOSED,CUST-1002,Acme Manufacturing,STD,1,ITM-12345-Q,4,EA,212.71,$,M2,20240720,30-Jul-24,NETSUITE,B. O'Connor,NET30,DDP,M2
SO-200006,15/09/2024,CLOSED,CUST-1002,Acme Manufacturing,STD,2,ITM-01059-A,236,EA,210.71,USD,M2,04/15/2024,20240415,NETSUITE,B. O'Connor,PREPAID,FOB,M2
SO-200006,15/09/2024,CLOSED,CUST-1002,Acme Manufacturing,STD,3,ITM-01018-A,96,Each,184.68,USD,M2,"Jun 10, 2024",06/09/2024,NETSUITE,B. O'Connor,NET 30,FOB Origin,M2
SO-200006,15/09/2024,CLOSED,CUST-1002,Acme Manufacturing,STD,4,ITM-01055-A,24,Each,152.95,USD,M2,14/08/2024,2024-08-12,NETSUITE,B. O'Connor,NET30,FOB Destination,M2
SO-200007,2024-09-12T00:00:00,CANCELLED,CUST-1001,Northwind Industries,DROPSHIP,1,ITM-01015-D,70,EA,369.82,USD,PLANO_DC,24-Apr-24,20240506,NETSUITE,B. O'Connor,PREPAID,FOB Origin,PLANO_DC
SO-200007,2024-09-12T00:00:00,CANCELLED,CUST-1001,Northwind Industries,DROPSHIP,2,ITM-DELETED,151,PCS,301.4,USD,PLANO_DC,2024-03-05T00:00:00,08/03/2024,NETSUITE,B. O'Connor,NET30,FOB,PLANO_DC
SO-200007,2024-09-12T00:00:00,CANCELLED,CUST-1001,Northwind Industries,DROPSHIP,3,ITM-99999-Z,146,Each,271.46,USD,PLANO_DC,23-Jul-24,27/07/2024,NETSUITE,B. O'Connor,NET60,FOB Origin,PLANO_DC
SO-200007,2024-09-12T00:00:00,CANCELLED,CUST-1001,Northwind Industries,DROPSHIP,4,ITM-01023-B,112,PCS,335.79,$,PLANO_DC,20240314,2024-03-14T00:00:00,NETSUITE,B. O'Connor,PREPAID,DDP,PLANO_DC
SO-200007,2024-09-12T00:00:00,CANCELLED,CUST-1001,Northwind Industries,DROPSHIP,5,ITM-01021-C,201,Each,197.26,$,PLANO_DC,20240308,13/03/2024,NETSUITE,B. O'Connor,Due on receipt,FOB Destination,PLANO_DC
SO-200008,"Oct 26, 2024",CANCELLED,CUST-1006,Summit Technology,STD,1,ITM-01006-B,98,PC,313.99,USD,M1,"May 08, 2024",09/05/2024,NETSUITE,B. O'Connor,NET 30,FOB,M1
SO-200008,"Oct 26, 2024",CANCELLED,CUST-1006,Summit Technology,STD,2,ITM-99999-Z,93,EACH,42.69,USD,M1,05/18/2024,29/05/2024,NETSUITE,B. O'Connor,Due on receipt,DDP,M1
SO-200009,2024-01-14,CLOSED,CUST-1001,Northwind Industries,STD,1,ITM-DELETED,186,ea,362.27,USD,M1,20240608,20240607,NETSUITE,B. O'Connor,NET60,DDP,M1
SO-200009,2024-01-14,CLOSED,CUST-1001,Northwind Industries,STD,2,ITM-DELETED,127,PCS,27.18,$,M1,17-May-24,22/05/2024,NETSUITE,B. O'Connor,NET 30,DDP,M1
SO-200009,2024-01-14,CLOSED,CUST-1001,Northwind Industries,STD,3,ITM-99999-Z,242,PCS,288.92,$,M1,20240601,20240606,NETSUITE,B. O'Connor,NET60,DDP,M1
SO-200009,2024-01-14,CLOSED,CUST-1001,Northwind Industries,STD,4,ITM-DELETED,86,ea,153.2,$,M1,02/03/2024,11-Mar-24,NETSUITE,B. O'Connor,Due on receipt,FOB Destination,M1
SO-200010,20240613,SHIPPED,CUST-1003,Pacific Distributors,INTERNAL,1,ITM-01019-D,248,ea,313.23,$,DALLAS_DC,25/08/2024,06-Sep-24,NETSUITE,J. Lin,Due on receipt,FOB,DALLAS_DC
SO-200010,20240613,SHIPPED,CUST-1003,Pacific Distributors,INTERNAL,2,ITM-12345-Q,47,PC,307.51,USD,DALLAS_DC,"Apr 21, 2024",05/05/2024,NETSUITE,J. Lin,NET60,DDP,DALLAS_DC
SO-200010,20240613,SHIPPED,CUST-1003,Pacific Distributors,INTERNAL,3,ITM-01054-C,210,Each,269.85,USD,DALLAS_DC,"Aug 25, 2024",24-Aug-24,NETSUITE,J. Lin,NET60,FOB,DALLAS_DC
SO-200010,20240613,SHIPPED,CUST-1003,Pacific Distributors,INTERNAL,4,ITM-01046-D,19,Each,396.3,$,DALLAS_DC,20240617,26/06/2024,NETSUITE,J. Lin,PREPAID,DDP,DALLAS_DC
SO-200011,2024-01-19T00:00:00,CLOSED,CUST-1005,BlueRidge Components,STD,1,ITM-12345-Q,248,EACH,386.36,$,DALLAS_DC,2024-03-12,2024-03-21,NETSUITE,E. Vasquez,NET30,FOB,DALLAS_DC
SO-200011,2024-01-19T00:00:00,CLOSED,CUST-1005,BlueRidge Components,STD,2,ITM-99999-Z,143,ea,275.69,USD,DALLAS_DC,09/07/2024,22-Jul-24,NETSUITE,E. Vasquez,Due on receipt,DDP,DALLAS_DC
SO-200011,2024-01-19T00:00:00,CLOSED,CUST-1005,BlueRidge Components,STD,3,ITM-01038-D,39,EACH,399.09,$,DALLAS_DC,2024-08-24,06-Sep-24,NETSUITE,E. Vasquez,Due on receipt,FOB Origin,DALLAS_DC
SO-200012,13-Mar-24,CLOSED,CUST-1001,Northwind Industries,DROPSHIP,1,ITM-01031-A,185,PC,182.07,USD,DALLAS_DC,25-Mar-24,2024-04-05,NETSUITE,R. Kim,NET30,FOB Origin,DALLAS_DC
SO-200012,13-Mar-24,CLOSED,CUST-1001,Northwind Industries,DROPSHIP,2,ITM-01042-C,239,PC,99.08,USD,DALLAS_DC,20240328,03/30/2024,NETSUITE,R. Kim,NET 30,DDP,DALLAS_DC
SO-200012,13-Mar-24,CLOSED,CUST-1001,Northwind Industries,DROPSHIP,3,ITM-01015-D,48,PC,263.61,$,DALLAS_DC,2024-06-12,"Jun 14, 2024",NETSUITE,R. Kim,PREPAID,FOB Destination,DALLAS_DC
SO-200012,13-Mar-24,CLOSED,CUST-1001,Northwind Industries,DROPSHIP,4,ITM-01028-B,181,PCS,83.9,USD,DALLAS_DC,2024-06-08T00:00:00,2024-06-05T00:00:00,NETSUITE,R. Kim,NET30,FOB Origin,DALLAS_DC
SO-200012,13-Mar-24,CLOSED,CUST-1001,Northwind Industries,DROPSHIP,5,ITM-01035-C,84,PCS,184.11,$,DALLAS_DC,"Apr 17, 2024",2024-04-25T00:00:00,NETSUITE,R. Kim,Due on receipt,FOB,DALLAS_DC
SO-200013,20240717,CANCELLED,CUST-1005,BlueRidge Components,STD,1,ITM-12345-Q,236,ea,236.89,USD,M1,04/14/2024,20-Apr-24,NETSUITE,J. Lin,NET30,FOB Destination,M1
SO-200013,20240717,CANCELLED,CUST-1005,BlueRidge Components,STD,2,ITM-01005-A,131,Each,168.46,USD,M1,20240604,05/06/2024,NETSUITE,J. Lin,Due on receipt,FOB Destination,M1
SO-200013,20240717,CANCELLED,CUST-1005,BlueRidge Components,STD,3,ITM-01035-C,143,PCS,196.88,USD,M1,08/25/2024,27-Aug-24,NETSUITE,J. Lin,Due on receipt,FOB Origin,M1
SO-200013,20240717,CANCELLED,CUST-1005,BlueRidge Components,STD,4,ITM-01001-A,50,Each,385.6,USD,M1,"Jul 03, 2024",04/07/2024,NETSUITE,J. Lin,Due on receipt,DDP,M1
SO-200014,2024-12-29T00:00:00,CANCELLED,CUST-1004,Lone Star Logistics,INTERNAL,1,ITM-99999-Z,71,PCS,215.97,USD,PLANO_DC,2024-05-14T00:00:00,12/05/2024,NETSUITE,M. Patel,PREPAID,DDP,PLANO_DC
SO-200014,2024-12-29T00:00:00,CANCELLED,CUST-1004,Lone Star Logistics,INTERNAL,2,ITM-01008-C,69,ea,329.67,$,PLANO_DC,20240725,2024-07-25T00:00:00,NETSUITE,M. Patel,NET30,DDP,PLANO_DC
SO-200014,2024-12-29T00:00:00,CANCELLED,CUST-1004,Lone Star Logistics,INTERNAL,3,ITM-01028-B,77,EA,180.99,$,PLANO_DC,2024-03-27T00:00:00,2024-03-31T00:00:00,NETSUITE,M. Patel,NET30,DDP,PLANO_DC
SO-200014,2024-12-29T00:00:00,CANCELLED,CUST-1004,Lone Star Logistics,INTERNAL,4,ITM-99999-Z,208,PC,235.99,$,PLANO_DC,2024-04-30T00:00:00,"May 03, 2024",NETSUITE,M. Patel,PREPAID,DDP,PLANO_DC
SO-200014,2024-12-29T00:00:00,CANCELLED,CUST-1004,Lone Star Logistics,INTERNAL,5,ITM-99999-Z,207,EA,228.89,USD,PLANO_DC,22-Apr-24,20240425,NETSUITE,M. Patel,PREPAID,FOB Destination,PLANO_DC
SO-200015,26-Dec-24,CLOSED,CUST-1003,Pacific Distributors,DROPSHIP,1,ITM-01051-C,71,PC,52.5,USD,PLANO_DC,06/14/2024,06/12/2024,NETSUITE,B. O'Connor,NET 30,FOB Destination,PLANO_DC
SO-200015,26-Dec-24,CLOSED,CUST-1003,Pacific Distributors,DROPSHIP,2,ITM-01044-A,37,ea,253.7,USD,PLANO_DC,09/06/2024,21/06/2024,NETSUITE,B. O'Connor,Due on receipt,FOB Origin,PLANO_DC
SO-200016,17/02/2024,CLOSED,CUST-1006,Summit Technology,DROPSHIP,1,ITM-01056-C,163,PC,279.52,USD,M2,2024-03-24T00:00:00,20240404,NETSUITE,R. Kim,Due on receipt,FOB Destination,M2
SO-200016,17/02/2024,CLOSED,CUST-1006,Summit Technology,DROPSHIP,2,ITM-01053-D,69,EACH,331.68,$,M2,20240424,20240506,NETSUITE,R. Kim,NET60,DDP,M2
SO-200016,17/02/2024,CLOSED,CUST-1006,Summit Technology,DROPSHIP,3,ITM-01058-B,12,EA,251.22,$,M2,2024-08-22,2024-08-20,NETSUITE,R. Kim,NET60,DDP,M2
SO-200017,01/01/2024,SHIPPED,CUST-1004,Lone Star Logistics,RMA,1,ITM-99999-Z,65,EA,149.99,USD,DALLAS_DC,08/15/2024,2024-08-23,NETSUITE,J. Lin,Due on receipt,FOB,DALLAS_DC
SO-200017,01/01/2024,SHIPPED,CUST-1004,Lone Star Logistics,RMA,2,ITM-01049-C,168,EA,282.07,USD,DALLAS_DC,04/29/2024,09/05/2024,NETSUITE,J. Lin,NET30,FOB Destination,DALLAS_DC
SO-200017,01/01/2024,SHIPPED,CUST-1004,Lone Star Logistics,RMA,3,ITM-01034-D,3,EA,278.85,USD,DALLAS_DC,2024-08-22T00:00:00,02/09/2024,NETSUITE,J. Lin,NET60,DDP,DALLAS_DC
SO-200018,27/04/2024,BOOKED,CUST-1001,Northwind Industries,STD,1,ITM-01009-A,165,PC,58.86,USD,M1,20240606,2024-06-07,NETSUITE,E. Vasquez,PREPAID,FOB Destination,M1
SO-200018,27/04/2024,BOOKED,CUST-1001,Northwind Industries,STD,2,ITM-01047-B,236,Each,247.2,$,M1,2024-04-24T00:00:00,04/25/2024,NETSUITE,E. Vasquez,NET30,FOB Origin,M1
SO-200018,27/04/2024,BOOKED,CUST-1001,Northwind Industries,STD,3,ITM-99999-Z,90,Each,127.17,USD,M1,07/29/2024,07-Aug-24,NETSUITE,E. Vasquez,NET30,FOB Destination,M1
SO-200019,20241103,CLOSED,CUST-1005,BlueRidge Components,STD,1,ITM-01013-D,166,EA,313.95,USD,DALLAS_DC,09/06/2024,15/06/2024,NETSUITE,J. Lin,NET30,FOB Destination,DALLAS_DC
SO-200019,20241103,CLOSED,CUST-1005,BlueRidge Components,STD,2,ITM-DELETED,136,EA,394.78,$,DALLAS_DC,08/11/2024,10/08/2024,NETSUITE,J. Lin,PREPAID,DDP,DALLAS_DC
SO-200019,20241103,CLOSED,CUST-1005,BlueRidge Components,STD,3,ITM-01044-A,245,EA,8.64,USD,DALLAS_DC,2024-04-14,26-Apr-24,NETSUITE,J. Lin,NET60,FOB Origin,DALLAS_DC
SO-200019,20241103,CLOSED,CUST-1005,BlueRidge Components,STD,4,ITM-01051-C,74,PC,285.63,$,DALLAS_DC,10/06/2024,"Jun 23, 2024",NETSUITE,J. Lin,Due on receipt,FOB Origin,DALLAS_DC
SO-200019,20241103,CLOSED,CUST-1005,BlueRidge Components,STD,5,ITM-01035-C,72,EA,125.34,USD,DALLAS_DC,08/05/2024,2024-08-06T00:00:00,NETSUITE,J. Lin,NET60,FOB,DALLAS_DC
SO-200020,"Oct 27, 2024",BOOKED,CUST-1004,Lone Star Logistics,DROPSHIP,1,ITM-01060-D,117,ea,244.32,$,DALLAS_DC,"Jun 20, 2024","Jun 20, 2024",NETSUITE,R. Kim,NET60,FOB Origin,DALLAS_DC
SO-200021,12/28/2024,BOOKED,CUST-1001,Northwind Industries,RMA,1,ITM-01053-D,96,PCS,300.41,$,M1,"May 06, 2024",2024-05-08,NETSUITE,R. Kim,NET30,FOB,M1
SO-200021,12/28/2024,BOOKED,CUST-1001,Northwind Industries,RMA,2,ITM-01018-A,68,PC,390.07,USD,M1,2024-07-13,12/07/2024,NETSUITE,R. Kim,Due on receipt,FOB,M1
SO-200021,12/28/2024,BOOKED,CUST-1001,Northwind Industries,RMA,3,ITM-99999-Z,95,PCS,103.54,USD,M1,20240706,"Jul 08, 2024",NETSUITE,R. Kim,NET30,FOB Destination,M1
SO-200021,12/28/2024,BOOKED,CUST-1001,Northwind Industries,RMA,4,ITM-01001-A,63,EA,189.76,$,M1,03/12/2024,03/09/2024,NETSUITE,R. Kim,NET30,DDP,M1
SO-200021,12/28/2024,BOOKED,CUST-1001,Northwind Industries,RMA,5,ITM-01016-D,70,EA,229.47,USD,M1,20240615,"Jun 22, 2024",NETSUITE,R. Kim,NET30,FOB Destination,M1
SO-200022,2024-09-21,CANCELLED,CUST-1002,Acme Manufacturing,STD,1,ITM-01036-C,95,PCS,118.05,$,M1,"Jun 25, 2024",20240622,NETSUITE,R. Kim,NET60,DDP,M1
SO-200022,2024-09-21,CANCELLED,CUST-1002,Acme Manufacturing,STD,2,ITM-01032-C,195,PCS,61.93,$,M1,2024-04-20,05/04/2024,NETSUITE,R. Kim,PREPAID,FOB,M1
SO-200022,2024-09-21,CANCELLED,CUST-1002,Acme Manufacturing,STD,3,ITM-01045-D,1,PC,151.76,USD,M1,"Mar 03, 2024",10-Mar-24,NETSUITE,R. Kim,NET30,FOB Destination,M1
SO-200023,01/05/2024,CANCELLED,CUST-1005,BlueRidge Components,STD,1,ITM-99999-Z,180,EACH,184.47,USD,M1,2024-07-12,20240722,NETSUITE,M. Patel,NET30,FOB Destination,M1
SO-200024,2024-07-20,BOOKED,CUST-1006,Summit Technology,INTERNAL,1,ITM-DELETED,180,PC,131.85,$,DALLAS_DC,20-May-24,05/29/2024,NETSUITE,M. Patel,NET30,FOB Destination,DALLAS_DC
SO-200024,2024-07-20,BOOKED,CUST-1006,Summit Technology,INTERNAL,2,ITM-12345-Q,28,PCS,180.93,$,DALLAS_DC,28/03/2024,2024-03-29,NETSUITE,M. Patel,PREPAID,FOB,DALLAS_DC
SO-200024,2024-07-20,BOOKED,CUST-1006,Summit Technology,INTERNAL,3,ITM-01014-B,119,EACH,341.29,USD,DALLAS_DC,06/24/2024,2024-06-30T00:00:00,NETSUITE,M. Patel,NET 30,FOB Origin,DALLAS_DC
SO-200025,06/16/2024,BOOKED,CUST-1002,Acme Manufacturing,RMA,1,ITM-DELETED,8,Each,342.13,USD,M2,"May 06, 2024",20240508,NETSUITE,J. Lin,NET60,FOB Origin,M2
SO-200025,06/16/2024,BOOKED,CUST-1002,Acme Manufacturing,RMA,2,ITM-01052-B,4,EA,332.49,USD,M2,04/05/2024,04/05/2024,NETSUITE,J. Lin,Due on receipt,FOB,M2
SO-200025,06/16/2024,BOOKED,CUST-1002,Acme Manufacturing,RMA,3,ITM-01042-C,235,EA,10.68,USD,M2,03/22/2024,"Mar 27, 2024",NETSUITE,J. Lin,Due on receipt,FOB Destination,M2
SO-200025,06/16/2024,BOOKED,CUST-1002,Acme Manufacturing,RMA,4,ITM-DELETED,242,Each,22.15,USD,M2,01/04/2024,2024-03-30T00:00:00,NETSUITE,J. Lin,Due on receipt,DDP,M2
SO-200025,06/16/2024,BOOKED,CUST-1002,Acme Manufacturing,RMA,5,ITM-99999-Z,45,EACH,87.46,USD,M2,06-Jun-24,16-Jun-24,NETSUITE,J. Lin,Due on receipt,FOB Destination,M2
SO-200026,20241110,SHIPPED,CUST-1001,Northwind Industries,DROPSHIP,1,ITM-01006-B,36,Each,81.38,USD,M2,05/11/2024,"May 20, 2024",NETSUITE,R. Kim,PREPAID,FOB Origin,M2
SO-200026,20241110,SHIPPED,CUST-1001,Northwind Industries,DROPSHIP,2,ITM-01051-C,140,Each,138.93,USD,M2,20240531,12-Jun-24,NETSUITE,R. Kim,Due on receipt,FOB,M2
SO-200026,20241110,SHIPPED,CUST-1001,Northwind Industries,DROPSHIP,3,ITM-DELETED,8,EACH,25.32,$,M2,20240731,04-Aug-24,NETSUITE,R. Kim,PREPAID,FOB Destination,M2
SO-200026,20241110,SHIPPED,CUST-1001,Northwind Industries,DROPSHIP,4,ITM-01007-B,69,ea,326.88,USD,M2,2024-05-03,2024-05-07T00:00:00,NETSUITE,R. Kim,NET60,DDP,M2
SO-200026,20241110,SHIPPED,CUST-1001,Northwind Industries,DROPSHIP,5,ITM-01054-C,61,ea,128.57,USD,M2,"Apr 14, 2024",16-Apr-24,NETSUITE,R. Kim,PREPAID,FOB Origin,M2
SO-200027,24-Dec-24,SHIPPED,CUST-1006,Summit Technology,RMA,1,ITM-01006-B,155,PCS,9.93,$,M1,2024-03-15,19-Mar-24,NETSUITE,R. Kim,PREPAID,FOB Destination,M1
SO-200027,24-Dec-24,SHIPPED,CUST-1006,Summit Technology,RMA,2,ITM-99999-Z,236,EACH,25.7,USD,M1,20240527,"May 29, 2024",NETSUITE,R. Kim,NET60,FOB Origin,M1
SO-200028,2024-07-05,CLOSED,CUST-1005,BlueRidge Components,INTERNAL,1,ITM-01009-A,203,PC,384.34,USD,PLANO_DC,10-Apr-24,04/20/2024,NETSUITE,B. O'Connor,PREPAID,FOB,PLANO_DC
SO-200028,2024-07-05,CLOSED,CUST-1005,BlueRidge Components,INTERNAL,2,ITM-01038-D,79,PC,276.02,USD,PLANO_DC,04/14/2024,"Apr 23, 2024",NETSUITE,B. O'Connor,NET30,DDP,PLANO_DC
SO-200028,2024-07-05,CLOSED,CUST-1005,BlueRidge Components,INTERNAL,3,ITM-01050-B,47,ea,128.65,USD,PLANO_DC,07/24/2024,"Jul 22, 2024",NETSUITE,B. O'Connor,PREPAID,FOB Origin,PLANO_DC
