ITEM_NUM,ITEM_DESC,LONG_DESC,ITEM_CLASS,ITEM_TYPE,PRIMARY_UOM,SECONDARY_UOM,INVENTORY_ORG,ITEM_STATUS,EFFECTIVE_DATE,EFFECTIVE_END_DATE,CREATED_DATE,WEIGHT,WEIGHT_UOM,LENGTH_CM,WIDTH_CM,HEIGHT_CM,DIMENSION_UOM,COLOR,MATERIAL,STD_COST,AVG_COST,LIST_PRICE,CURRENCY,COUNTRY_OF_ORIGIN,HARMONIZED_CODE,LEAD_TIME_DAYS,MIN_ORDER_QTY,REORDER_POINT,SAFETY_STOCK,MAKE_OR_BUY,ABC_CLASS,SUPPLIER_NAME,CATEGORY_PATH
ITM-01001-A,Industrial Bearing 6203 ZZ,,COMPONENTS,raw,PCS,,M2,Inactive,20210724,"Feb 18, 2023",17-Jul-21,37.046,LB,152.0,16.8,34.4,INCH,Silver,Plastic ABS,137.25,142.54,196.95,USDOLLAR,USA,8476.74.77,12,25,59,96,Make,C,GlobalParts SA,/Components/Mechanical/Bearings
ITM-01002-D,Mounting Plate Steel,,COMPONENTS,SUBASM,EA,PC,PLANO_PLANT,I,11-Oct-20,14-Nov-24,12-Sep-20,41.479,LBS,134.4,70.5,55.0,CM,Blue,,155.39,167.71,316.23,$,China,9354.39.98,32,5,246,102,Make,C,,Components > Electrical > Capacitors
ITM-01003-C,Pulley Aluminum 16T,Pulley Aluminum 16T — Plano warehouse stock,RAW MATERIAL,COMP,PC,PC,M-1,X,01-Jun-27,,"Apr 24, 2020",40.262,G,86.3,58.8,29.6,IN,Blue,Carbon Steel,101.49,97.42,244.03,USD,US,HS-93275203,15,5,331,45,BUY,B,,/Components/Mechanical/Bearings
ITM-01004-D,Timing Belt T5 250mm,Timing Belt T5 250mm — Plano warehouse stock,RAW MATERIAL,FG,EACH,,PLANO_PLANT,X,2023-05-19T00:00:00,,05/05/2023,48.555,G,182.6,87.2,24.6,MM,Blue,Plastic ABS,215.47,205.07,472.48,$,MEXICO,83743069,21,50,498,140,M,C,GlobalParts SA,Raw Materials/Steel
ITM-01005-A,Capacitor 100uF 25V,,COMPONENTS,FINISHED,EA,ea,M-1,Inactive,02/10/2022,,20220113,-40.348,GMS,138.3,71.6,32.5,INCH,Red,Brass,61.38,60.53,124.24,US$,USA,9498.72.08,32,5,42,91,M,C,,Components > Electrical > Capacitors
ITM-01006-B,Industrial Bearing 6203 ZZ,,Finished Goods,FINISHED,EACH,,M2,Inactive,2020-06-16T00:00:00,,25/05/2020,11.486,LBS,19.8,66.2,29.0,Inches,Red,,226.54,244.42,334.81,USD,TAIWAN,HS-84439648,84,100,60,20,Buy,C,GlobalParts SA,/Components/Mechanical/Bearings
ITM-01007-B,ALUMINUM HEAT SINK 40X40  ,,PACKAGING,RM,ea,Each,DALLAS_DC,I,2021-02-10T00:00:00,,24/01/2021,21.123,LB,33.8,1.2,31.8,Inches,White,Carbon Steel,71.08,70.19,171.7,US$,United States,8200.16.83,25,10,121,19,MAKE,C,,/Components/Mechanical/Bearings
ITM-01008-C,Hex Bolt M8x40,,,FINISHED,PCS,ea,M1,X,2020-04-30,,12/04/2020,45.973,GMS,117.2,52.8,74.8,IN,,,$133.72,128.17,261.91,USDOLLAR,U.S.A.,8140.86.08,34,25,77,176,BUY,B,Toyo Industries,Finished Goods\Industrial
ITM-01009-A,Industrial Bearing 6203 ZZ,,ELECTRONICS,raw,EA,PC,M-1,A,"Aug 15, 2022",,2022-07-27T00:00:00,49.805,G,60.6,66.7,75.2,IN,White,Stainless Steel,20.17,19.81,34.12,USD,China,89562590,20,10,154,159,B,C,GlobalParts SA,Components > Electrical > Capacitors
ITM-01010-C,Pneumatic Cylinder 50mm,Pneumatic Cylinder 50mm — Plano warehouse stock,COMPONENTS,raw,EACH,,M1,A,2022-10-05,,"Sep 27, 2022",42.313,LBS,109.6,83.6,47.0,IN,Red,Plastic ABS,24.89,25.23,42.42,USD,MX,HS-85421791,47,1,470,96,B,C,Tier One Mfg,/Components/Mechanical/Bearings
ITM-01011-C,heat shrink tubing 6mm,,Finished Goods,raw,PCS,,PLANO_PLANT,I,2023-03-20T00:00:00,,"Feb 20, 2023",48.693,LB,77.1,4.8,38.2,IN,Red,Aluminum 6061,187.87,204.56,311.94,USDOLLAR,U.S.A.,86018345,29,1,347,54,Buy,B,GlobalParts SA,/Components/Mechanical/Bearings
ITM-01005-A,Brushless DC Motor 24V,,ELECTRONICS,FINISHED,EA,ea,M2,Active,2023-08-22,24-Aug-27,"Aug 06, 2023",46.965,KGS,1.3,92.6,43.5,IN,White,Carbon Steel,30.6,33.52,48.85,USD,TAIWAN,91599334,43,50,170,174,M,C,GlobalParts SA,Finished Goods\Industrial
ITM-01013-D,Shaft Coupling 12mm,Shaft Coupling 12mm — Plano warehouse stock,RAW MATERIAL,FINISHED,ea,,PLANO_PLANT,Inactive,01/06/2027,02/15/2029,04/04/2022,21.051,GMS,43.5,47.8,72.2,IN,,Stainless Steel,235.21,247.35,562.88,USDOLLAR,China,80013621,85,100,327,90,M,A,GlobalParts SA,Components > Electrical > Capacitors
ITM-01014-B,RESISTOR 10K OHM 1/4W  ,,Finished Goods,FG,PC,,M1,Inactive,02/21/2020,20231021,02/20/2020,42.494,GMS,104.1,6.0,20.7,CM,Red,Plastic ABS,20.06,20.3,41.98,US$,TAIWAN,9426.59.63,68,50,314,86,Buy,C,,Raw Materials/Steel
ITM-01015-D,Pressure Sensor 0-10 bar,,RAW MATERIAL,RM,,EACH,M-1,A,12/14/2020,,11/21/2020,22.531,LBS,77.2,16.1,17.9,Inches,Red,Aluminum 6061,188.44,202.76,321.3,US$,Mexico,8992.90.30,8,5,436,112,Buy,C,Acme Components,Raw Materials/Steel
ITM-01016-D,Industrial Bearing 6203 ZZ,Industrial Bearing 6203 ZZ — Plano warehouse stock,RAW MATERIAL,SUBASM,ea,PC,DALLAS_DC,ACT,12/30/2021,,2021-12-21T00:00:00,42.68,KGS,184.0,98.1,43.2,Inches,Blue,Brass,$238.45,241.51,529.9,USD,USA,87362568,83,25,79,123,B,A,GlobalParts SA,Raw Materials/Steel
ITM-01017-C,Aluminum Heat Sink 40x40,Aluminum Heat Sink 40x40 — Plano warehouse stock,COMPONENTS,FG,PC,,M2,A,20220730,13-Sep-25,07/20/2022,37.613,LBS,26.1,67.3,45.6,IN,Red,,208.32,205.79,310.42,USDOLLAR,MEXICO,HS-82302450,22,50,320,196,BUY,A,Tier One Mfg,Finished Goods\Industrial
ITM-01018-A,"Display Module 3.5"" TFT","Display Module 3.5"" TFT — Plano warehouse stock",Finished Goods,SUBASM,EA,,M1,X,"Mar 22, 2020",07/01/2025,22-Feb-20,-19.863,LB,170.1,82.4,9.3,INCH,,Carbon Steel,179.32,172.4,387.27,$,Mexico,9427.48.87,23,100,277,171,Make,C,,Raw Materials/Steel
ITM-01019-D,Sensor Bracket Stainless,Sensor Bracket Stainless — Plano warehouse stock,RAW MATERIAL,RM,ea,EACH,PLANO_PLANT,Active,20240224,2026-07-10T00:00:00,"Feb 06, 2024",46.734,KG,111.6,52.1,16.1,IN,,Carbon Steel,71.17,72.42,158.39,US$,China,80963012,31,100,253,170,BUY,B,Toyo Industries,/Components/Mechanical/Bearings
ITM-01020-A,LED Driver Module 24V,LED Driver Module 24V — Plano warehouse stock,PACKAGING,FG,PC,,PLANO_PLANT,A,"Apr 10, 2021",,20210329,15.345,GMS,37.8,22.4,39.3,MM,Blue,Brass,146.23,149.3,290.12,USDOLLAR,USA,95225164,25,10,126,97,B,B,Acme Components,Components > Electrical > Capacitors
ITM-01021-C,HEX BOLT M8X40  ,HEX BOLT M8X40   — Plano warehouse stock,PACKAGING,FG,Each,,M1,X,"May 08, 2020","Jan 21, 2022","Apr 21, 2020",43.43,LB,31.2,81.3,76.0,CM,Silver,Stainless Steel,123.74,133.75,251.37,US$,TW,81723916,77,50,125,138,Buy,B,Toyo Industries,Finished Goods\Industrial
ITM-01022-D,led driver module 24v,,,SUBASM,PCS,PCS,PLANO_PLANT,ACT,29-Mar-23,2024-10-17T00:00:00,"Mar 10, 2023",10.429,KGS,15.2,24.1,21.9,MM,,Plastic ABS,54.33,57.0,85.45,US$,USA,80089782,70,5,341,43,Make,A,Acme Components,/Components/Mechanical/Bearings
ITM-01023-B,Servo Driver 400W,Servo Driver 400W — Plano warehouse stock,PACKAGING,SUBASM,EACH,,M-1,Active,2027-06-01,,2021-09-21,28.482,LBS,192.4,83.8,46.4,CM,,Aluminum 6061,73.58,71.27,158.75,USD,United States,HS-82699180,61,50,343,118,Make,A,,Raw Materials/Steel
ITM-01024-D,Stainless Steel Washer,Stainless Steel Washer — Plano warehouse stock,PACKAGING,COMP,EACH,Each,M-1,A,"Aug 31, 2022",,2022-08-20T00:00:00,16.087,G,92.9,6.4,42.0,MM,Red,,$27.94,27.22,51.77,US$,US,98458179,27,10,291,38,Make,B,Toyo Industries,/Components/Mechanical/Bearings
ITM-01025-A,Gear Reducer 1:10,Gear Reducer 1:10 — Plano warehouse stock,COMPONENTS,raw,Each,Each,DALLAS_DC,I,25/06/2023,14-May-25,20230531,27.564,LBS,77.3,92.3,41.2,IN,Black,Aluminum 6061,138.96,133.95,346.22,US$,MEXICO,HS-96722706,65,10,430,5,Make,C,GlobalParts SA,Raw Materials/Steel
ITM-01026-B,O-Ring Buna-N 25mm,,Finished Goods,raw,ea,,DALLAS_DC,Inactive,"Jan 23, 2023",2027-02-26T00:00:00,2023-01-08T00:00:00,27.194,GMS,196.2,50.0,3.9,MM,Blue,Aluminum 6061,114.93,114.73,184.75,USD,CN,93783325,13,50,476,121,M,C,Tier One Mfg,Raw Materials/Steel
ITM-01006-B,Stainless Steel Washer,,RAW MATERIAL,RM,Each,,PLANO_PLANT,I,"Sep 13, 2022",,2022-08-19,16.961,KGS,195.7,76.3,56.6,CM,Red,Plastic ABS,173.79,182.04,406.14,USDOLLAR,US,9954.50.80,6,10,417,19,Make,B,GlobalParts SA,Raw Materials/Steel
ITM-01028-B,CABLE HARNESS 12-PIN  ,,RAW MATERIAL,SUBASM,PC,EA,DALLAS_DC,Active,"Jan 05, 2023",,20221223,39.636,LBS,15.7,94.6,79.0,INCH,,Carbon Steel,44.16,42.48,104.13,USDOLLAR,CN,84802233,39,5,206,128,M,A,Toyo Industries,Finished Goods\Industrial
ITM-01029-C,Solenoid Valve 24VDC,,COMPONENTS,COMP,,PCS,M-1,Active,"Aug 27, 2021",,2021-08-27T00:00:00,32.929,GMS,153.7,68.4,11.8,CM,,,70.07,72.51,150.96,USD,MX,9864.87.95,57,1,306,98,BUY,A,Acme Components,Finished Goods\Industrial
ITM-01030-C,Coupling Flexible Jaw,,PACKAGING,RM,EACH,,DALLAS_DC,X,05-May-22,13-May-26,2022-04-30,26.566,KGS,3.8,54.1,36.9,INCH,Blue,Carbon Steel,228.54,245.58,384.56,USDOLLAR,USA,9528.53.14,87,5,251,11,MAKE,C,GlobalParts SA,Components > Electrical > Capacitors
ITM-01031-A,Gear Reducer 1:10,Gear Reducer 1:10 — Plano warehouse stock,PACKAGING,raw,EA,,M-1,Inactive,20220906,,"Aug 08, 2022",32.48,GMS,31.8,42.1,8.8,Inches,Blue,Carbon Steel,30.94,29.6,44.58,USDOLLAR,US,84552130,89,10,121,118,Buy,A,GlobalParts SA,/Components/Mechanical/Bearings
ITM-01032-C,Mounting Plate Steel,,Finished Goods,FINISHED,PC,ea,M2,X,08/24/2023,03/11/2026,2023-08-13T00:00:00,48.412,LBS,66.4,15.6,72.1,CM,White,Plastic ABS,$237.35,254.83,356.22,$,China,9309.86.02,33,5,66,174,M,A,Acme Components,Finished Goods\Industrial
ITM-01033-B,"display module 3.5"" tft","display module 3.5"" tft — Plano warehouse stock",ELECTRONICS,raw,ea,,DALLAS_DC,ACT,2027-06-01,09/15/2028,2021-10-25,-37.099,KGS,169.6,43.2,9.5,Inches,Black,Stainless Steel,132.47,140.66,254.86,USDOLLAR,TW,HS-87433976,19,1,74,75,MAKE,C,,Finished Goods\Industrial
ITM-01034-D,Connector RJ45 Shielded,Connector RJ45 Shielded — Plano warehouse stock,RAW MATERIAL,SUBASM,PC,PC,M1,Active,31/12/2022,,22-Dec-22,30.291,GMS,51.7,95.4,55.3,Inches,Black,Stainless Steel,26.6,28.07,62.19,USD,USA,95151668,56,1,391,194,Make,A,,/Components/Mechanical/Bearings
ITM-01035-C,LINEAR SLIDE 200MM  ,LINEAR SLIDE 200MM   — Plano warehouse stock,ELECTRONICS,FG,EACH,ea,PLANO_PLANT,A,2020-09-20T00:00:00,2025-06-13T00:00:00,07-Sep-20,21.176,G,46.0,43.5,45.3,MM,Blue,,229.13,219.44,393.28,USD,TW,HS-85191883,85,100,146,12,B,B,GlobalParts SA,Finished Goods\Industrial
ITM-01036-C,Industrial Bearing 6203 ZZ,Industrial Bearing 6203 ZZ — Plano warehouse stock,,raw,ea,ea,M-1,A,2021-02-02,10/10/2025,01/06/2021,3.526,LBS,151.1,5.9,7.4,Inches,,Carbon Steel,185.76,203.55,278.81,US$,TW,8440.58.53,57,25,149,60,MAKE,A,GlobalParts SA,Raw Materials/Steel
ITM-01037-A,LED Driver Module 24V,LED Driver Module 24V — Plano warehouse stock,COMPONENTS,FG,EA,,DALLAS_DC,I,11/10/2023,,20/10/2023,26.37,G,141.0,50.5,66.8,INCH,Black,Carbon Steel,78.49,77.16,194.88,USD,Mexico,84604835,3,25,481,24,Make,C,Toyo Industries,Raw Materials/Steel
ITM-01038-D,LED Driver Module 24V,LED Driver Module 24V — Plano warehouse stock,COMPONENTS,SUBASM,,,PLANO_PLANT,I,04-Sep-20,07/01/2023,2020-08-23T00:00:00,40.076,LBS,16.2,63.7,42.9,IN,White,Aluminum 6061,155.3,166.92,374.54,$,U.S.A.,94618878,14,5,141,55,B,C,Tier One Mfg,/Components/Mechanical/Bearings
